"Exposure","model","Quartile","IRR","lowerCI","upperCI","se","pval","strata","outcome","baseline"
"OSA LASSO MRS","model_1","2nd",1.85401069440502,1.25645901816871,2.73574832546321,0.198496823371159,0.00187004030788513,"both","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","2nd",1.88667956971292,1.26458217518271,2.81481098550029,0.204120750649315,0.00187078320319989,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","3rd",1.29964999147609,0.866236232127273,1.94991855304387,0.206986027113789,0.205425434837887,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","3rd",1.35453378263465,0.910080636555432,2.01604307860338,0.202897650544213,0.134753300497517,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","3rd",1.42967025135393,0.898274271677759,2.27542643939783,0.237103906379602,0.131672081616355,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","3rd",1.45579138063358,0.93262385741285,2.27243655315247,0.227195393009287,0.0983347403041673,"both","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","3rd",2.40318640599021,1.56610351793731,3.68769039580646,0.218471850587236,0.0000598728928606807,"both","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","3rd",2.38705215933625,1.55885725658394,3.65525322304264,0.217401108946707,0.0000627849239877185,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","4th",1.71082897597162,1.15811183125318,2.52733432647597,0.199075044423772,0.00698906410411975,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","4th",1.71125027706625,1.15975288889875,2.5250012643124,0.198478216283561,0.00679522621439716,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","4th",1.8265831377454,1.13376043134418,2.94277862135322,0.243319979890392,0.0132883747116528,"both","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","4th",1.83539157974443,1.15445170107751,2.91797590826244,0.23654711230578,0.0102530826952586,"both","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","4th",3.36700219727068,2.30741947971428,4.91315250481868,0.192802551537999,0.000000000304018745140705,"both","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","4th",3.27386443821465,2.22829309532333,4.81004423623693,0.196293473602551,0.00000000152379459315947,"both","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","2nd",1.07135485730035,0.611212925439943,1.87790732572431,0.286343858661569,0.809784654652562,"female","incident hypertension","normal"
"SDB PC1 MRS","model_2","2nd",1.0780818273207,0.622489886043116,1.86711535794919,0.280209833830143,0.788459952178329,"female","incident hypertension","normal"
"SDB PC2 MRS","model_1","2nd",0.998460846737061,0.624798814476959,1.59559211600209,0.239176142309371,0.994861510099224,"female","incident hypertension","normal"
"SDB PC2 MRS","model_2","2nd",0.960643126646209,0.599224289726369,1.54004974864088,0.24079949767608,0.867570098331772,"female","incident hypertension","normal"
"OSA LASSO MRS","model_1","2nd",1.46139119713543,0.941524196319751,2.26830520066594,0.224308208282295,0.0907655775031136,"female","incident hypertension","normal"
"OSA LASSO MRS","model_2","2nd",1.4069143141953,0.90625192800022,2.18416957396767,0.224406541835109,0.128174282116637,"female","incident hypertension","normal"
"SDB PC1 MRS","model_1","3rd",1.53164643075157,0.905118510754154,2.59186035967751,0.268384004133567,0.1121604705524,"female","incident hypertension","normal"
"SDB PC1 MRS","model_2","3rd",1.48245658562857,0.875834231336274,2.50923913412299,0.2685096971839,0.142581993448178,"female","incident hypertension","normal"
"SDB PC2 MRS","model_1","3rd",1.12067596184848,0.744674200642945,1.68652896848136,0.208541077266329,0.584839797327603,"female","incident hypertension","normal"
"SDB PC2 MRS","model_2","3rd",1.12877085889026,0.735978215882744,1.73119750609963,0.21820615504694,0.578816644593392,"female","incident hypertension","normal"
"OSA LASSO MRS","model_1","3rd",1.69287405745125,1.06536052544807,2.69000259155102,0.23628288101831,0.0258834922320496,"female","incident hypertension","normal"
"OSA LASSO MRS","model_2","3rd",1.68486034409581,1.05682391271396,2.68611860969025,0.237966620961089,0.028361352647228,"female","incident hypertension","normal"
"SDB PC1 MRS","model_1","4th",1.44173976184482,0.833711447800886,2.49320498880901,0.279448201341161,0.190470287683858,"female","incident hypertension","normal"
"SDB PC1 MRS","model_2","4th",1.43635799825038,0.842725328487167,2.4481574593723,0.272053541970623,0.183179967149046,"female","incident hypertension","normal"
"SDB PC2 MRS","model_1","4th",1.35372647334731,0.864062324589449,2.1208833118746,0.22906710109426,0.186118101386587,"female","incident hypertension","normal"
"SDB PC2 MRS","model_2","4th",1.36946900491161,0.850626079592476,2.20478233669028,0.242962098701224,0.195622601294238,"female","incident hypertension","normal"
"OSA LASSO MRS","model_1","4th",2.046344350655,1.28024675945147,3.27087350195815,0.239286794654413,0.00276743490979001,"female","incident hypertension","normal"
"OSA LASSO MRS","model_2","4th",1.98955291961915,1.26040028777068,3.14052675040745,0.232898260596889,0.00313996251457086,"female","incident hypertension","normal"
"SDB PC1 MRS","model_1","2nd",1.29224000465218,0.680121237214224,2.45527435147197,0.327480284135867,0.433698685390911,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","2nd",1.30557414550163,0.678409346561667,2.51253002046808,0.334003734438067,0.42468300654225,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","2nd",1.4779445492579,0.916417719029194,2.38354196489687,0.243844539551122,0.109143501609616,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","2nd",1.44153465143327,0.895986752470143,2.31925544161667,0.242621391616708,0.131728442073527,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","2nd",1.62341066184246,0.998228677225768,2.64013871481646,0.24811335527816,0.0508368382013216,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","2nd",1.6278728844275,0.979474143316241,2.70550289248291,0.259190624234098,0.0601102810532852,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","3rd",1.9433554975874,1.06333172617413,3.55169557819131,0.307657653170039,0.0308039886406894,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","3rd",1.97276091499926,1.08038139071124,3.60223311990469,0.307204042318577,0.026989457491241,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","3rd",1.54724201202083,0.905362380616307,2.64419849445547,0.273415302953095,0.110404568195506,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","3rd",1.59612353508925,0.927977697754865,2.7453357396729,0.276696672472834,0.0910552534701599,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","3rd",1.85547996497499,1.10575575493383,3.11353197581107,0.264088959955563,0.0192495050485996,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","3rd",1.83405218925316,1.08963875942354,3.08702990217037,0.265653878575675,0.0224214949306511,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","4th",2.43329446581248,1.28550852122326,4.60589864602331,0.325556994887845,0.00630542905042268,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","4th",2.41440558408356,1.29118007015656,4.51474930506559,0.31933496865901,0.00577522864308784,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","4th",1.87314090910737,1.144020046876,3.06695400570362,0.251565426584826,0.012601229443024,"female","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","4th",1.93230026927538,1.18370662392599,3.15431565150652,0.25003082687838,0.00842564107532356,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","4th",2.85768495026267,1.78484235389548,4.57539751739664,0.240143747401855,0.0000122870952860409,"female","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","4th",2.86010317808875,1.76843686364462,4.62566142873464,0.245286567306972,0.0000183394559752896,"female","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","2nd",1.2258501244882,0.705105707129096,2.13118191005169,0.282164352396915,0.470486418869342,"male","incident hypertension","normal"
"SDB PC1 MRS","model_2","2nd",1.20983536968853,0.694676285711745,2.10702690138576,0.28305796434808,0.500978122998619,"male","incident hypertension","normal"
"SDB PC2 MRS","model_1","2nd",1.37164384120091,0.713230779425971,2.63786544464416,0.333653133557339,0.343577101866664,"male","incident hypertension","normal"
"SDB PC2 MRS","model_2","2nd",1.32753791309949,0.694947769856288,2.53595591950886,0.330226847462765,0.390906846675046,"male","incident hypertension","normal"
"OSA LASSO MRS","model_1","2nd",2.14836306446756,1.16181803925012,3.97262196044698,0.313632721096936,0.0147597083207214,"male","incident hypertension","normal"
"OSA LASSO MRS","model_2","2nd",2.17935635731098,1.18235054236473,4.01707781404023,0.312002623523227,0.0125295340756253,"male","incident hypertension","normal"
"SDB PC1 MRS","model_1","3rd",1.00657457379379,0.58296602197201,1.73799558537014,0.278662975116951,0.981238627127214,"male","incident hypertension","normal"
"SDB PC1 MRS","model_2","3rd",0.987258172206333,0.584417333783882,1.66777855865005,0.267508284501168,0.961765985384152,"male","incident hypertension","normal"
"SDB PC2 MRS","model_1","3rd",1.66491052956813,0.910380304770927,3.04480122970621,0.307991956855682,0.097895063246331,"male","incident hypertension","normal"
"SDB PC2 MRS","model_2","3rd",1.62383577083509,0.893456285075497,2.95128329688877,0.304820908857878,0.11174176101183,"male","incident hypertension","normal"
"OSA LASSO MRS","model_1","3rd",1.96770185577015,1.05730048605268,3.66201533459652,0.316911909507221,0.0326942178357796,"male","incident hypertension","normal"
"OSA LASSO MRS","model_2","3rd",1.96686224933355,1.08176215533859,3.57615312087027,0.305024576182315,0.0265783133436235,"male","incident hypertension","normal"
"SDB PC1 MRS","model_1","4th",2.06376813999897,1.17090358556455,3.63748047933532,0.289162122418387,0.012223319539055,"male","incident hypertension","normal"
"SDB PC1 MRS","model_2","4th",1.98369986416391,1.11256817543268,3.53692046741636,0.295047298371103,0.0202577883487018,"male","incident hypertension","normal"
"SDB PC2 MRS","model_1","4th",2.06016828352429,1.17303677549156,3.61820997015278,0.287342729418915,0.0118890630166641,"male","incident hypertension","normal"
"SDB PC2 MRS","model_2","4th",1.91845726035633,1.08221398578799,3.40087848442843,0.292098175102121,0.0257150908329252,"male","incident hypertension","normal"
"OSA LASSO MRS","model_1","4th",3.42544411340766,1.93935121099753,6.05030553905902,0.290243694711802,0.0000221477581647287,"male","incident hypertension","normal"
"OSA LASSO MRS","model_2","4th",3.45701758629443,1.97014559866831,6.06603420581047,0.286887142912822,0.000015345256802604,"male","incident hypertension","normal"
"SDB PC1 MRS","model_1","2nd",1.10491630678955,0.667596515301675,1.82870943305894,0.257061682952676,0.697930653984265,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","2nd",1.11535624231416,0.678573939385999,1.83328518097055,0.253538614583687,0.666758878988638,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","2nd",1.17119913331854,0.555111151522893,2.47104999804624,0.38092603903248,0.678249875200899,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","2nd",1.14334231014976,0.565233132793013,2.3127300264921,0.35942491451591,0.709375550561378,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","2nd",2.22620541450083,1.16526223307839,4.2531117948104,0.330281823360499,0.0153896337056286,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","2nd",2.30418156279031,1.20244017992181,4.41539858943176,0.331822738617155,0.0118837823341158,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","3rd",1.09397563143728,0.654026021198653,1.82987013266723,0.262462535492463,0.732189635393744,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","3rd",1.14606633959489,0.693312347116973,1.89448242226506,0.256433759471959,0.594961684298852,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","3rd",1.31112333175909,0.669569029939579,2.56738934182511,0.342859840502723,0.42948518442368,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","3rd",1.3193510715765,0.706553277452458,2.46363198023262,0.318620751310773,0.384403409256461,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","3rd",3.10757796401651,1.62206854981202,5.95353433340416,0.331704803953359,0.00063029595199805,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","3rd",3.0770904109682,1.60982362231719,5.88169117784686,0.330540743417824,0.000672771168707004,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","4th",1.53401080765797,0.923685891980265,2.54760755625109,0.258810692453234,0.0982745149571719,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_2","4th",1.5094364434933,0.918945019565475,2.47936310490375,0.253196607000701,0.103917159635229,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_1","4th",1.76982963076821,0.913817161676223,3.42770638734727,0.337249008989056,0.0905002244864462,"male","incident diabetes","norm+preDM"
"SDB PC2 MRS","model_2","4th",1.7646804897533,0.945889860543409,3.29224084200131,0.318162648754004,0.0742361762113196,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_1","4th",4.37828563036844,2.35203570709236,8.15012501863264,0.317028585545056,0.00000319599168910694,"male","incident diabetes","norm+preDM"
"OSA LASSO MRS","model_2","4th",4.08341296567031,2.18871612098663,7.61828420247026,0.318172461293443,0.00000978277088809535,"male","incident diabetes","norm+preDM"
"SDB PC1 MRS","model_1","2nd",1.47230928041089,0.706269734236824,3.06921635191741,0.374790898898627,0.302012250601889,"both","incident diabetes","norm"
"SDB PC1 MRS","model_2","2nd",1.59125281092509,0.733829818819264,3.45050779259848,0.394897841375652,0.239471670998634,"both","incident diabetes","norm"
"SDB PC2 MRS","model_1","2nd",1.85788019351245,0.795137754952142,4.34103247135287,0.432997989569795,0.152552018292937,"both","incident diabetes","norm"
"SDB PC2 MRS","model_2","2nd",1.66176938714555,0.709860816254747,3.89016752695795,0.4339639245834,0.24186640382645,"both","incident diabetes","norm"
"OSA LASSO MRS","model_1","2nd",1.98323235458048,0.899794178234428,4.37123363030928,0.403223086019687,0.08948191970197,"both","incident diabetes","norm"
"OSA LASSO MRS","model_2","2nd",2.0381348107181,0.880845296668996,4.71591722447702,0.428014463933531,0.0961969618042048,"both","incident diabetes","norm"
"SDB PC1 MRS","model_1","3rd",0.985514990864682,0.435154210604966,2.23194392596768,0.41707339923662,0.972092412652141,"both","incident diabetes","norm"
"SDB PC1 MRS","model_2","3rd",1.1131695292865,0.497913962320903,2.4886757446125,0.41047926603048,0.793949185605928,"both","incident diabetes","norm"
"SDB PC2 MRS","model_1","3rd",1.94586774628601,0.810244670673167,4.67315790289663,0.447003588773416,0.136416881959871,"both","incident diabetes","norm"
"SDB PC2 MRS","model_2","3rd",1.93498769487183,0.825021952643833,4.53827606320894,0.434921556611422,0.129078144624967,"both","incident diabetes","norm"
"OSA LASSO MRS","model_1","3rd",1.24142950540679,0.542552499998662,2.84054947106197,0.422313248276507,0.608586115089945,"both","incident diabetes","norm"
"OSA LASSO MRS","model_2","3rd",1.26492410479835,0.535471143253877,2.98808443939115,0.438581837857247,0.592065301692027,"both","incident diabetes","norm"
"SDB PC1 MRS","model_1","4th",1.75837166430377,0.658520986198961,4.69517445096617,0.50109544829836,0.260034853645775,"both","incident diabetes","norm"
"SDB PC1 MRS","model_2","4th",1.79753209428983,0.677069049662744,4.77221877386281,0.498161573005448,0.239132621468267,"both","incident diabetes","norm"
"SDB PC2 MRS","model_1","4th",2.57119533238171,1.00414200140254,6.58377543019564,0.479712986594314,0.0489971463717576,"both","incident diabetes","norm"
"SDB PC2 MRS","model_2","4th",2.55772849433245,0.984643198492594,6.64400572789754,0.487038518452145,0.0538272198043439,"both","incident diabetes","norm"
"OSA LASSO MRS","model_1","4th",2.60044726397364,1.08112426210508,6.25490168867446,0.447796924346386,0.0328272790344623,"both","incident diabetes","norm"
"OSA LASSO MRS","model_2","4th",2.12406303118621,0.917660887794591,4.91646077593519,0.42819292781674,0.0785222212101917,"both","incident diabetes","norm"
"SDB PC1 MRS","model_1","2nd",1.03384087188617,0.325770327958013,3.28092173121459,0.589205882628076,0.954956020261575,"female","incident diabetes","norm"
"SDB PC1 MRS","model_2","2nd",1.05929150347099,0.3205872281394,3.50013472413787,0.609796514626247,0.924745171744009,"female","incident diabetes","norm"
"SDB PC2 MRS","model_1","2nd",1.67992227925886,0.5839356668908,4.83296195859543,0.539138771252339,0.335960137343391,"female","incident diabetes","norm"
"SDB PC2 MRS","model_2","2nd",1.61259930599018,0.578474699930053,4.4954023434291,0.523065214347787,0.360952217454568,"female","incident diabetes","norm"
"OSA LASSO MRS","model_1","2nd",1.98553672790431,0.773684330612375,5.09556151245376,0.480857448800859,0.153756390718419,"female","incident diabetes","norm"
"OSA LASSO MRS","model_2","2nd",2.23514562099668,0.835162836854725,5.98191840752325,0.502262724335821,0.10929590912852,"female","incident diabetes","norm"
"SDB PC1 MRS","model_1","3rd",0.760971468999128,0.232150544800872,2.49440541751645,0.605719287996742,0.652013329495299,"female","incident diabetes","norm"
"SDB PC1 MRS","model_2","3rd",0.848669482866988,0.270549913939012,2.66213313714851,0.583272042262052,0.778465787936243,"female","incident diabetes","norm"
"SDB PC2 MRS","model_1","3rd",1.77472843821499,0.492543781226659,6.39468236014454,0.653989461784282,0.380404702884654,"female","incident diabetes","norm"
"SDB PC2 MRS","model_2","3rd",2.05295193814998,0.579481239010035,7.27307698098016,0.645357509381138,0.265046286323315,"female","incident diabetes","norm"
"OSA LASSO MRS","model_1","3rd",1.5365197362215,0.559496875893945,4.21967128239286,0.515427184907758,0.404659722741277,"female","incident diabetes","norm"
"OSA LASSO MRS","model_2","3rd",1.63001448274166,0.534369686988648,4.97211439690818,0.5690083069973,0.390524025268919,"female","incident diabetes","norm"
"SDB PC1 MRS","model_1","4th",1.06102982126836,0.211044780311237,5.33433842789445,0.823941278088436,0.942682853772683,"female","incident diabetes","norm"
"SDB PC1 MRS","model_2","4th",1.10011751477833,0.233137863218677,5.19117113631116,0.791603223712061,0.904058243901055,"female","incident diabetes","norm"
"SDB PC2 MRS","model_1","4th",3.19951574710905,0.827545554107215,12.3701963779416,0.689944179740496,0.0918646117921942,"female","incident diabetes","norm"
"SDB PC2 MRS","model_2","4th",3.68187249207116,0.972221947626995,13.9435085588824,0.67938398548254,0.0550433022430869,"female","incident diabetes","norm"
"OSA LASSO MRS","model_1","4th",0.93657744331835,0.171892514946434,5.1030570330889,0.864981043115825,0.939617304225071,"female","incident diabetes","norm"
"OSA LASSO MRS","model_2","4th",0.996988111477132,0.200989607376716,4.94545617258561,0.817084511972497,0.997054453821844,"female","incident diabetes","norm"
"SDB PC1 MRS","model_1","2nd",2.31277889390008,0.912234792339901,5.86356303989404,0.474646765408563,0.0773168487203946,"male","incident diabetes","norm"
"SDB PC1 MRS","model_2","2nd",2.41793974976816,0.99677167720756,5.86536793449788,0.452117030391949,0.0508376099671407,"male","incident diabetes","norm"
"SDB PC2 MRS","model_1","2nd",2.43660424307121,0.690574529312729,8.59724763272294,0.643284052551755,0.16621558965868,"male","incident diabetes","norm"
"SDB PC2 MRS","model_2","2nd",1.56172400671802,0.470634934775987,5.1823222054697,0.611970874726841,0.466338005550068,"male","incident diabetes","norm"
"OSA LASSO MRS","model_1","2nd",2.07471390675361,0.682747589049803,6.30458146453129,0.567068019276714,0.198090153345987,"male","incident diabetes","norm"
"OSA LASSO MRS","model_2","2nd",1.7850813810078,0.514566949330721,6.19261602589385,0.634639598434436,0.361211007754734,"male","incident diabetes","norm"
"SDB PC1 MRS","model_1","3rd",1.42204998050536,0.400304793546476,5.05171604151802,0.646749243351206,0.586156469028441,"male","incident diabetes","norm"
"SDB PC1 MRS","model_2","3rd",1.61747413169778,0.470204411020827,5.56401110961848,0.630333426662502,0.445537813002227,"male","incident diabetes","norm"
"SDB PC2 MRS","model_1","3rd",2.86122808776677,0.775183045809939,10.5608942487536,0.666279093549701,0.114613019312136,"male","incident diabetes","norm"
"SDB PC2 MRS","model_2","3rd",2.59959351445629,0.772876355421165,8.74381315070845,0.618873106927043,0.12266076116944,"male","incident diabetes","norm"
"OSA LASSO MRS","model_1","3rd",1.03260792027732,0.310828963044378,3.43043681185919,0.612551040716252,0.958223126074203,"male","incident diabetes","norm"
"OSA LASSO MRS","model_2","3rd",0.919063573955764,0.270811601535757,3.11906080899866,0.623434650739097,0.892312198793527,"male","incident diabetes","norm"
"SDB PC1 MRS","model_1","4th",3.67542820686098,1.21886933970268,11.0830357805904,0.563135707376838,0.020807069913048,"male","incident diabetes","norm"
"SDB PC1 MRS","model_2","4th",3.4640347704802,1.20828123134785,9.93107943728481,0.537364871680081,0.0207729207625759,"male","incident diabetes","norm"
"SDB PC2 MRS","model_1","4th",2.77564131247151,0.776979682738418,9.91555489372081,0.649603521117133,0.116055875131667,"male","incident diabetes","norm"
"SDB PC2 MRS","model_2","4th",2.23704657060889,0.647050278879721,7.73413986891002,0.63290192721231,0.203314039908291,"male","incident diabetes","norm"
"OSA LASSO MRS","model_1","4th",4.80184986945485,1.6362523991896,14.0918125957851,0.549282004401029,0.00428396045782229,"male","incident diabetes","norm"
"OSA LASSO MRS","model_2","4th",2.72106455430996,1.09510952686631,6.76114317981451,0.464371837345845,0.0311109996395378,"male","incident diabetes","norm"
"SDB PC1 MRS","model_1","2nd",0.892179880768726,0.573762996065532,1.38730616144089,0.225230285760789,0.612479618039448,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_2","2nd",0.901017215055162,0.581521462621839,1.39604825274298,0.223406369230503,0.640819709926884,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_1","2nd",1.13962964104841,0.721862542886103,1.79917316884671,0.232971364988889,0.574778817013101,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_2","2nd",1.15354656551537,0.73786128649851,1.80341441292706,0.227979896647828,0.5309532096299,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_1","2nd",1.54413881013298,1.00914358546694,2.36276056182393,0.217022609451984,0.0452911315579362,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_2","2nd",1.53310488270691,1.00368650917249,2.34177759678927,0.21613024670209,0.0480387451837462,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_1","3rd",1.0232002065883,0.68072349558052,1.53797932576063,0.207925640570522,0.912167738413845,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_2","3rd",1.02799853534339,0.68824633117117,1.53546912029283,0.204705208114991,0.892694764530372,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_1","3rd",1.27173338771987,0.84608287676737,1.91152173605108,0.20791775673032,0.247626243919609,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_2","3rd",1.31832082079197,0.88446814554147,1.96498855871132,0.203636531347377,0.174743690057698,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_1","3rd",1.85098208178603,1.18038558093297,2.90255550596016,0.229528165638526,0.00730674427685225,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_2","3rd",1.81099701725751,1.16044771108413,2.8262455646981,0.227077369081117,0.00891467136398282,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_1","4th",1.25943545246724,0.85759619260658,1.84956238449512,0.196064028176845,0.239406869836083,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_2","4th",1.24316537141686,0.84952166901105,1.81921214851309,0.194256467390563,0.262508482988768,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_1","4th",1.42422982326812,0.935111726647751,2.16918527667061,0.214653293777138,0.0994649884106771,"both","incident diabetes","preDM"
"SDB PC2 MRS","model_2","4th",1.47422822829449,0.964948621579999,2.2522949103152,0.216232162626802,0.0726552576871603,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_1","4th",2.45542282325942,1.57712924806577,3.82283268690724,0.225863629100852,0.0000697391058838225,"both","incident diabetes","preDM"
"OSA LASSO MRS","model_2","4th",2.39984953494969,1.53513006321877,3.75165461766968,0.227954557361917,0.000122901278382432,"both","incident diabetes","preDM"
"SDB PC1 MRS","model_1","2nd",1.39508324715888,0.643456134194543,3.02469300248359,0.39482424014023,0.399062372067281,"female","incident diabetes","preDM"
"SDB PC1 MRS","model_2","2nd",1.36643893570304,0.635571830891291,2.93775663780892,0.390529695393712,0.424030902730173,"female","incident diabetes","preDM"
"SDB PC2 MRS","model_1","2nd",1.20154544179369,0.715700959254184,2.01719926461975,0.264337474643326,0.487306518615518,"female","incident diabetes","preDM"
"SDB PC2 MRS","model_2","2nd",1.12789707824671,0.671265380343167,1.8951548171114,0.26476817686608,0.649420697734459,"female","incident diabetes","preDM"
