"chem_id","lib_id","comp_id","chro_lib_entry_id","super_pathway","sub_pathway","pathway_sortorder","type","inchikey","smiles","chemical_name","plot_name","cas","chemspider","hmdb","kegg","pubchem","platform","chemid_x"
"100002009",209,37196,144279,"Lipid","Progestin Steroids",3272,"NAMED",NA,"O[C@H]1CC[C@@]2(C)[C@](CCC3C2CC[C@@]4(C)C3CCC4C(C)OS(=O)(O)=O)([H])C1","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","5alpha-pregnan-3beta,20beta-diol monosulfate (1)",NA,NA,"HMDB0240580",NA,NA,"Neg","X100002009"
"100002014",209,37200,144283,"Lipid","Progestin Steroids",3275,"NAMED",NA,"C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CCC4[C@](C)([H])O)([H])C[C@@H](OS(=O)(O)=O)CC1","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",NA,NA,NA,NA,NA,"Neg","X100002014"
"100002015",209,46172,144285,"Lipid","Progestin Steroids",3282,"NAMED","LSQGWMYMIHQKSA-UHFFFAOYAD","CC(OS(=O)(O)=O)C1CCC2C3CCC4CC(OS(=O)(O)=O)CCC4(C)C3CCC21C","5alpha-pregnan-diol disulfate","5alpha-pregnan-diol disulfate",NA,"4302261","HMDB0240581,HMDB0240582",NA,"3082277,5127902","Neg","X100002015"
"100002017",209,37184,144264,"Lipid","Androgenic Steroids",3381,"NAMED",NA,"C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)([H])C[C@H](OS(=O)(O)=O)CC1","5alpha-androstan-3alpha,17beta-diol disulfate","5alpha-androstan-3alpha,17beta-diol disulfate",NA,NA,"HMDB0094682",NA,"56639109","Neg","X100002017"
"100002067",209,32619,149838,"Lipid","Pregnenolone Steroids",3260,"NAMED",NA,"CC(C1CCC2C3CCC4CC(OS(O)(=O)=O)CCC4(C3CCC12C)C)=O","pregnenediol sulfate (C21H34O5S)*","pregnenediol sulfate (C21H34O5S)*","1247-64-9","13465233","HMDB0000774","C18044","105074","Neg","X100002067"
"100002128",209,37482,151073,"Lipid","Pregnenolone Steroids",3248,"NAMED","OMOKWYAQVYBHMG-QUPIPBJSBX","O=[C@@](C)[C@@]1(O)CC[C@@]2([H])[C@]3([H])CC=C4CC(OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C","17alpha-hydroxypregnenolone 3-sulfate","17alpha-hydroxypregnenolone 3-sulfate","28901-70-4","134824","HMDB00416",NA,"152971","Neg","X100002128"
"100002129",209,38170,127723,"Lipid","Pregnenolone Steroids",3244,"NAMED","DIJBBUIOWGGQOP-QGVNFLHTBX","C[C@]12CC[C@H](OS(=O)(O)=O)CC1=CC[C@@]3([H])[C@]4([H])CC[C@H]([C@](C)=O)[C@](C)4CC[C@]23[H]","pregnenolone sulfate","pregnenolone sulfate","1247-64-9","94802","HMDB0000774","C18044","105074","Neg","X100002129"
"100002466",400,62103,218949,"Amino Acid","Glutathione Metabolism",577,"NAMED","ZHRLECIZINSPKL-AKGZTFGVBW","OC(CNC(C(N)CSSC[C@@H](C(O)=O)N)=O)=O","cysteinylglycine disulfide*","cysteinylglycine disulfide*","70555-24-7","17215992","HMDB0000709",NA,"22833544","Pos Early","X100002466"
"100002875",402,52474,165152,"Lipid","Lysoplasmalogen",2834,"NAMED","HTZINLFNXLXRBC-CQLBIITFBS","CCCCCCCCCCCCCC/C=C\OC[C@H](COP([O-])(OCC[N+](C)(C)C)=O)O","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","1-(1-enyl-palmitoyl)-GPC (P-16:0)*",NA,"9093054","HMDB0010407",NA,"10917802","Pos Late","X100002875"
"100004329",402,42459,161023,"Lipid","Sphingomyelins",3118,"NAMED",NA,"CCCCC/C=C/CCCCCCCCC(N[C@@](COP([O-])(OCC[N+](C)(C)C)=O)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H])=O","sphingomyelin (d18:2/16:0, d18:1/16:1)*","sphingomyelin (d18:2/16:0, d18:1/16:1)*",NA,NA,"HMDB0240638,HMDB0240613",NA,NA,"Pos Late","X100004329"
"100005396",209,47132,149409,"Lipid","Androgenic Steroids",3382,"NAMED",NA,"O[C@@H]1CC[C@]2(C)[C@]3([H])[C@](CCC2C1)([H])[C@@](CC4)([H])[C@@](CC3)(C)[C@H]4O[C@@H]([C@@H]([C@H]5O)O)O[C@H](C(O)=O)[C@H]5O","5alpha-androstan-3alpha,17beta-diol 17-glucuronide","5alpha-androstan-3alpha,17beta-diol 17-glucuronide",NA,NA,NA,NA,NA,"Neg","X100005396"
"100006173",209,48394,154288,"Lipid","Progestin Steroids",3289,"NAMED",NA,"C[C@]12C(C3CC[C@@]4(C[C@@H](CC[C@@]4(C3CC2)C)OS(=O)(O)=O)[H])CCC1C(C)=O","pregnanolone/allopregnanolone sulfate","pregnanolone/allopregnanolone sulfate",NA,NA,"HMDB0240591,HMDB0062782","C05480","31402,129699967","Neg","X100006173"
"100006314",402,52433,164557,"Lipid","Sphingomyelins",3116,"NAMED","LQINJRUGTUOHGS-YPDYIYJKBT","CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCCCCCCC)=O)COP([O-])(OCC[N+](C)(C)C)=O","sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*","sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*","121999-58-4","28532779","HMDB0240617,HMDB0240608",NA,NA,"Pos Late","X100006314"
"100008952",209,52431,164555,"Lipid","Monoacylglycerol",2853,"NAMED",NA,"CCCCCC/C=C/CCCCCCCC(OCC(O)CO)=O","1-palmitoleoylglycerol (16:1)*","1-palmitoleoylglycerol (16:1)*",NA,NA,"HMDB0011565",NA,NA,"Neg","X100008952"
"100008956",402,52435,164559,"Lipid","Sphingomyelins",3129,"NAMED",NA,"[H][C@](NC(CCCCCCCCCCCCCCCCCCCCCC)=O)(COP(OCC[N+](C)(C)C)([O-])=O)[C@@](O)([H])/C=C/CCCCCCCC/C=C\CCC","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",NA,NA,"HMDB0240634,HMDB0011696,HMDB0240614",NA,"134757653","Pos Late","X100008956"
"100008957",402,52437,164561,"Lipid","Sphingomyelins",3131,"NAMED",NA,"[H][C@](NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)(COP(OCC[N+](C)(C)C)([O-])=O)[C@@](O)([H])/C=C/CCCCCCCC/C=C\CCC","sphingomyelin (d18:2/24:1, d18:1/24:2)*","sphingomyelin (d18:2/24:1, d18:1/24:2)*",NA,NA,"HMDB0240636,HMDB0240615",NA,"85336023","Pos Late","X100008957"
"100009014",402,52689,165459,"Lipid","Plasmalogen",2814,"NAMED","IOYKZPNDXIIXLN-LOQSCQKMBD","[H][C@](OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(OCC[N+](C)(C)C)([O-])=O)CO/C=C\CCCCCCCCCCCCCC","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",NA,"24767495","HMDB0011220",NA,NA,"Pos Late","X100009014"
"100010941",402,54968,208053,"Lipid","Diacylglycerol",2932,"NAMED",NA,"CCCCC/C=C/C/C=C/CCCCCCCC(OCC(OC(CCCCCCC/C=C/C/C=C/CCCCC)=O)CO)=O","linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*","linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*",NA,NA,"HMDB0007248",NA,"9543729","Pos Late","X100010941"
"100015789",402,57479,211142,"Lipid","Sphingomyelins",3112,"NAMED",NA,"CCC/C=C/CCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCCCCCCCCC/C=C/C/C=C/CC)=O)COP([O-])(OCC[N+](C)(C)C)=O","sphingomyelin (d18:2/24:2)*","sphingomyelin (d18:2/24:2)*",NA,NA,"HMDB0240644",NA,NA,"Pos Late","X100015789"
"100020015",209,61888,218639,"Partially Characterized Molecules","Partially Characterized Molecules",6379,"NAMED",NA,NA,"glucuronide of C10H18O2 (8)*","glucuronide of C10H18O2 (8)*",NA,NA,NA,NA,NA,"Neg","X100020015"
"100021103",209,62922,220778,"Lipid","Pregnenolone Steroids",3262,"NAMED",NA,"O[C@H]1C2=C[C@@H](OS(=O)(O)=O)CC[C@]2(C)C3CC[C@@]4(C)C(CCC4[C@H](O)C)C3C1","pregnenetriol sulfate*","pregnenetriol sulfate*",NA,NA,NA,NA,"129671303","Neg","X100021103"
"100021990",400,64393,237477,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",1925,"NAMED",NA,"[O-]C(CC(OC(C(O)CCCCCC)=O)C[N+](C)(C)C)=O","3-hydroxyoctanoylcarnitine (1)","3-hydroxyoctanoylcarnitine (1)",NA,NA,NA,NA,NA,"Pos Early","X100021990"
"100021991",400,64394,237478,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",1926,"NAMED",NA,"[O-]C(CC(OC(C(O)CCCCCC)=O)C[N+](C)(C)C)=O","3-hydroxyoctanoylcarnitine (2)","3-hydroxyoctanoylcarnitine (2)",NA,NA,NA,NA,NA,"Pos Early","X100021991"
