trait,model,or,se,lowerCI,upperCI,n,p_val,outcome,strata,p_label,IRR,baseline
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.848730159,0.156,1.361706922,2.509940387,868,8.40216E-05,incident_dm,female,***,1.848730159,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.959890989,0.175,1.390813536,2.761817159,857,0.000122823,incident_dm,female,***,1.959890989,Normal
log_HB,mdl1_mdl1_covar,1.848022564,0.272,1.084366758,3.149476295,508,0.023741316,incident_dm,male,*,1.848022564,Normal
log_HB,mdl2_mdl1_covar,1.535260613,0.272,0.900846995,2.616454474,500,0.114817066,incident_dm,male,,1.535260613,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.689215802,0.245,1.045049653,2.730444452,508,0.032117305,incident_dm,male,*,1.689215802,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.332318656,0.205,0.891473805,1.991166753,500,0.161750814,incident_dm,male,,1.332318656,Normal
REI3,mdl1_mdl1_covar,1.250344208,0.167,0.901314415,1.734534156,508,0.182014266,incident_dm,male,,1.250344208,Normal
REI3,mdl2_mdl1_covar,1.391587635,0.138,1.061799679,1.823805549,500,0.016493866,incident_dm,male,*,1.391587635,Normal
sdb_pc1,mdl1_mdl1_covar,1.247078642,0.216,0.816640529,1.904393776,508,0.305664603,incident_dm,male,,1.247078642,Normal
sdb_pc1,mdl2_mdl1_covar,1.200485994,0.224,0.77389929,1.862214685,500,0.414403044,incident_dm,male,,1.200485994,Normal
sdb_pc2,mdl1_mdl1_covar,0.477993201,0.244,0.296295275,0.771114221,508,0.002468844,incident_dm,male,**,0.477993201,Normal
sdb_pc2,mdl2_mdl1_covar,0.660393427,0.219,0.429918544,1.014423509,500,0.058321212,incident_dm,male,,0.660393427,Normal
sdbpc1_mrs,mdl1_mdl1_covar,1.423215201,0.193,0.974957438,2.077569162,508,0.06703899,incident_dm,male,,1.423215201,Normal
sdbpc1_mrs,mdl2_mdl1_covar,1.340501756,0.218,0.874383676,2.055098931,500,0.178385329,incident_dm,male,,1.340501756,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.228030358,0.16,0.897458455,1.680365872,508,0.199958274,incident_dm,male,,1.228030358,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.194551082,0.176,0.846039231,1.686626621,500,0.31272248,incident_dm,male,,1.194551082,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.327871611,0.198,0.900772427,1.957478897,508,0.151934926,incident_dm,male,,1.327871611,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.311413055,0.238,0.822526337,2.090880406,500,0.255342585,incident_dm,male,,1.311413055,Normal
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.130345821,0.2,0.763779321,1.672841407,508,0.540218234,incident_dm,male,,1.130345821,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.123868776,0.232,0.713235939,1.770916125,500,0.614294935,incident_dm,male,,1.123868776,Normal
log_HB,mdl1_mdl1_covar,1.159762312,0.096,0.960842362,1.399863989,2908,0.121273576,incident_dm,both,,1.159762312,Normal+Pre-diabetic
log_HB,mdl2_mdl1_covar,1.151669341,0.092,0.961647318,1.379239818,2874,0.1256266,incident_dm,both,,1.151669341,Normal+Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.587115235,0.065,1.397266811,1.802758606,2908,1.03817E-12,incident_dm,both,***,1.587115235,Normal+Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.573604445,0.068,1.377250076,1.797953031,2874,2.30164E-11,incident_dm,both,***,1.573604445,Normal+Pre-diabetic
REI3,mdl1_mdl1_covar,1.056688414,0.053,0.952428614,1.172361253,2908,0.301561782,incident_dm,both,,1.056688414,Normal+Pre-diabetic
REI3,mdl2_mdl1_covar,1.055869312,0.055,0.947967007,1.176053593,2874,0.321370567,incident_dm,both,,1.055869312,Normal+Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.19291215,0.068,1.044060567,1.362985484,2908,0.009335765,incident_dm,both,**,1.19291215,Normal+Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.1933978,0.068,1.044485618,1.363540373,2874,0.009566383,incident_dm,both,**,1.1933978,Normal+Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,0.960433167,0.08,0.82105032,1.123477875,2908,0.612133706,incident_dm,both,,0.960433167,Normal+Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,0.96838269,0.077,0.832728243,1.126135738,2874,0.674510635,incident_dm,both,,0.96838269,Normal+Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.21419072,0.068,1.062683998,1.387297737,2908,0.004038749,incident_dm,both,**,1.21419072,Normal+Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.215669955,0.068,1.063978653,1.388987866,2874,0.003843827,incident_dm,both,**,1.215669955,Normal+Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.297050186,0.077,1.115354842,1.508344359,2908,0.000761024,incident_dm,both,***,1.297050186,Normal+Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.303175592,0.076,1.122820753,1.512500208,2874,0.000515566,incident_dm,both,***,1.303175592,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.136827059,0.079,0.973751735,1.327212795,2908,0.102374538,incident_dm,both,,1.136827059,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.139013584,0.077,0.979456563,1.324563023,2874,0.089538837,incident_dm,both,,1.139013584,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.338502156,0.088,1.126450112,1.590472584,2908,0.000973968,incident_dm,both,***,1.338502156,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.330870088,0.084,1.128842679,1.569054063,2874,0.000710388,incident_dm,both,***,1.330870088,Normal+Pre-diabetic
log_HB,mdl1_mdl1_covar,1.136896358,0.097,0.940054014,1.374956448,1784,0.184922654,incident_dm,female,,1.136896358,Normal+Pre-diabetic
log_HB,mdl2_mdl1_covar,1.141160491,0.096,0.945431085,1.377411095,1766,0.170558804,incident_dm,female,,1.141160491,Normal+Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.51878543,0.087,1.280679704,1.801160098,1784,1.7725E-06,incident_dm,female,***,1.51878543,Normal+Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.521230682,0.091,1.27272423,1.818259394,1766,3.6269E-06,incident_dm,female,***,1.521230682,Normal+Pre-diabetic
REI3,mdl1_mdl1_covar,1.097907924,0.049,0.997369946,1.208580441,1784,0.057141965,incident_dm,female,,1.097907924,Normal+Pre-diabetic
REI3,mdl2_mdl1_covar,1.101749565,0.05,0.998900035,1.215188769,1766,0.053649261,incident_dm,female,,1.101749565,Normal+Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.164654639,0.09,0.976309722,1.389334139,1784,0.09026702,incident_dm,female,,1.164654639,Normal+Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.16896033,0.089,0.981841634,1.391739978,1766,0.079164403,incident_dm,female,,1.16896033,Normal+Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,0.929562931,0.084,0.788454349,1.09592552,1784,0.387262911,incident_dm,female,,0.929562931,Normal+Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,0.930632224,0.084,0.789361323,1.097186183,1766,0.394413399,incident_dm,female,,0.930632224,Normal+Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.273897748,0.108,1.030868132,1.574222176,1784,0.024755221,incident_dm,female,*,1.273897748,Normal+Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.271164713,0.106,1.032696742,1.564699163,1766,0.023989112,incident_dm,female,*,1.271164713,Normal+Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.379630201,0.084,1.170200958,1.626540705,1784,0.000127646,incident_dm,female,***,1.379630201,Normal+Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.409823755,0.085,1.193469606,1.665398943,1766,5.72117E-05,incident_dm,female,***,1.409823755,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.245685551,0.103,1.017965494,1.524346848,1784,0.033738756,incident_dm,female,*,1.245685551,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.241003436,0.102,1.016128965,1.515643763,1766,0.034029913,incident_dm,female,*,1.241003436,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.400767512,0.076,1.206906301,1.625767984,1784,9.33093E-06,incident_dm,female,***,1.400767512,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.427029486,0.078,1.224723374,1.662753563,1766,5.35182E-06,incident_dm,female,***,1.427029486,Normal+Pre-diabetic
log_HB,mdl1_mdl1_covar,1.235260735,0.179,0.869742637,1.754391493,1124,0.238171149,incident_dm,male,,1.235260735,Normal+Pre-diabetic
log_HB,mdl2_mdl1_covar,1.192039052,0.173,0.849238961,1.67321233,1108,0.30857602,incident_dm,male,,1.192039052,Normal+Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.702727443,0.094,1.416219991,2.047196597,1124,1.36412E-08,incident_dm,male,***,1.702727443,Normal+Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.654425764,0.095,1.373351329,1.993025783,1108,1.15361E-07,incident_dm,male,***,1.654425764,Normal+Pre-diabetic
REI3,mdl1_mdl1_covar,1.097056468,0.069,0.958285676,1.255922867,1124,0.182430504,incident_dm,male,,1.097056468,Normal+Pre-diabetic
REI3,mdl2_mdl1_covar,1.091543329,0.073,0.946023937,1.25944682,1108,0.22777273,incident_dm,male,,1.091543329,Normal+Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.290505133,0.111,1.038184711,1.604149514,1124,0.021086906,incident_dm,male,*,1.290505133,Normal+Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.267692583,0.112,1.017835572,1.578884183,1108,0.034152251,incident_dm,male,*,1.267692583,Normal+Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,1.045183375,0.124,0.81967476,1.332733837,1124,0.722304731,incident_dm,male,,1.045183375,Normal+Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,1.077875567,0.109,0.870534434,1.334600553,1108,0.492040396,incident_dm,male,,1.077875567,Normal+Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.229668797,0.09,1.030809961,1.466890512,1124,0.020914825,incident_dm,male,*,1.229668797,Normal+Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.224555483,0.09,1.026523558,1.460790762,1108,0.0243772,incident_dm,male,*,1.224555483,Normal+Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.256418981,0.105,1.022719848,1.543520114,1124,0.029475327,incident_dm,male,*,1.256418981,Normal+Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.25523103,0.099,1.033839605,1.524032288,1108,0.021283806,incident_dm,male,*,1.25523103,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.115203372,0.1,0.916710816,1.356674906,1124,0.274178935,incident_dm,male,,1.115203372,Normal+Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.109746444,0.1,0.912225154,1.350036407,1108,0.295715886,incident_dm,male,,1.109746444,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.326993737,0.131,1.026501106,1.715451027,1124,0.030907591,incident_dm,male,*,1.326993737,Normal+Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.307430388,0.121,1.03138615,1.657356188,1108,0.027067808,incident_dm,male,*,1.307430388,Normal+Pre-diabetic
log_HB,mdl1_mdl1_covar,1.053116974,0.092,0.879355799,1.261213451,1532,0.575253456,incident_dm,both,,1.053116974,Pre-diabetic
log_HB,mdl2_mdl1_covar,1.052153501,0.091,0.880274945,1.257592296,1517,0.575998574,incident_dm,both,,1.052153501,Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.379476185,0.075,1.190893482,1.597921706,1532,1.68289E-05,incident_dm,both,***,1.379476185,Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.375131403,0.078,1.180182742,1.602282688,1517,4.37273E-05,incident_dm,both,***,1.375131403,Pre-diabetic
REI3,mdl1_mdl1_covar,1.000332654,0.056,0.896347236,1.116381442,1532,0.995235483,incident_dm,both,,1.000332654,Pre-diabetic
REI3,mdl2_mdl1_covar,0.999923983,0.057,0.894226643,1.118114718,1517,0.998937609,incident_dm,both,,0.999923983,Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.110837484,0.074,0.960860752,1.284223456,1532,0.157188295,incident_dm,both,,1.110837484,Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.11071026,0.075,0.958869478,1.286595632,1517,0.159498165,incident_dm,both,,1.11071026,Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,0.984020034,0.077,0.846175053,1.144320462,1532,0.835189232,incident_dm,both,,0.984020034,Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,0.992944351,0.076,0.855524406,1.15243759,1517,0.925405565,incident_dm,both,,0.992944351,Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.128366705,0.074,0.976023313,1.304488739,1532,0.102662861,incident_dm,both,,1.128366705,Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.125184201,0.074,0.973270486,1.300809492,1517,0.110783122,incident_dm,both,,1.125184201,Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.224466554,0.072,1.06330851,1.410050166,1532,0.005109254,incident_dm,both,**,1.224466554,Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.247646001,0.072,1.083437196,1.436742756,1517,0.002182923,incident_dm,both,**,1.247646001,Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.054871601,0.072,0.91603478,1.214750923,1532,0.459196571,incident_dm,both,,1.054871601,Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.050346823,0.071,0.91389501,1.20717198,1517,0.488346117,incident_dm,both,,1.050346823,Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.283466861,0.073,1.112361131,1.480892433,1532,0.000608651,incident_dm,both,***,1.283466861,Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.304748848,0.068,1.141942282,1.490766726,1517,8.89364E-05,incident_dm,both,***,1.304748848,Pre-diabetic
log_HB,mdl1_mdl1_covar,1.082268343,0.099,0.891383219,1.314030532,916,0.42340669,incident_dm,female,,1.082268343,Pre-diabetic
log_HB,mdl2_mdl1_covar,1.084338364,0.1,0.891339402,1.319126795,909,0.416259324,incident_dm,female,,1.084338364,Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.355942183,0.097,1.121174225,1.639869312,916,0.001742443,incident_dm,female,**,1.355942183,Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.315691744,0.102,1.077283472,1.606860971,909,0.006938297,incident_dm,female,**,1.315691744,Pre-diabetic
REI3,mdl1_mdl1_covar,1.064830178,0.049,0.967321207,1.172168356,916,0.203939935,incident_dm,female,,1.064830178,Pre-diabetic
REI3,mdl2_mdl1_covar,1.060575333,0.049,0.963455987,1.167484609,909,0.234698116,incident_dm,female,,1.060575333,Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.12546597,0.089,0.945309535,1.339956493,916,0.184836242,incident_dm,female,,1.12546597,Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.139564347,0.089,0.957151147,1.356741729,909,0.143394002,incident_dm,female,,1.139564347,Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,0.880553935,0.088,0.741052283,1.046316501,916,0.146055246,incident_dm,female,,0.880553935,Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,0.897969741,0.087,0.757191635,1.064921506,909,0.214707011,incident_dm,female,,0.897969741,Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.338794912,0.112,1.074923923,1.667440623,916,0.009476772,incident_dm,female,**,1.338794912,Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.335359765,0.11,1.076376968,1.656655386,909,0.008301808,incident_dm,female,**,1.335359765,Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.164863013,0.089,0.978400185,1.386861797,916,0.08707259,incident_dm,female,,1.164863013,Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.184582279,0.092,0.989129719,1.41865637,909,0.064195244,incident_dm,female,,1.184582279,Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.256851567,0.101,1.031124379,1.531993513,916,0.023413007,incident_dm,female,*,1.256851567,Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.25563677,0.101,1.030127757,1.530512781,909,0.023509667,incident_dm,female,*,1.25563677,Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.186778321,0.08,1.014547137,1.388247753,916,0.031752294,incident_dm,female,*,1.186778321,Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.216204518,0.082,1.0356352,1.428257198,909,0.01658356,incident_dm,female,*,1.216204518,Pre-diabetic
log_HB,mdl1_mdl1_covar,1.065167051,0.141,0.807971609,1.404233555,616,0.654489474,incident_dm,male,,1.065167051,Pre-diabetic
log_HB,mdl2_mdl1_covar,1.067913964,0.145,0.80372925,1.418935836,608,0.651187992,incident_dm,male,,1.067913964,Pre-diabetic
osa_lasso_mrs,mdl1_mdl1_covar,1.485964768,0.108,1.202477771,1.836284501,616,0.000230792,incident_dm,male,***,1.485964768,Pre-diabetic
osa_lasso_mrs,mdl2_mdl1_covar,1.514513735,0.107,1.227984761,1.867899281,608,0.000108973,incident_dm,male,***,1.514513735,Pre-diabetic
REI3,mdl1_mdl1_covar,1.006520831,0.072,0.874047692,1.159071974,616,0.92786021,incident_dm,male,,1.006520831,Pre-diabetic
REI3,mdl2_mdl1_covar,1.010709284,0.074,0.874251092,1.168466664,608,0.885729949,incident_dm,male,,1.010709284,Pre-diabetic
sdb_pc1,mdl1_mdl1_covar,1.141108795,0.117,0.907266013,1.435223257,616,0.261027309,incident_dm,male,,1.141108795,Pre-diabetic
sdb_pc1,mdl2_mdl1_covar,1.143425449,0.119,0.905551197,1.443785577,608,0.26112696,incident_dm,male,,1.143425449,Pre-diabetic
sdb_pc2,mdl1_mdl1_covar,1.125247502,0.092,0.939585003,1.347597009,616,0.199011152,incident_dm,male,,1.125247502,Pre-diabetic
sdb_pc2,mdl2_mdl1_covar,1.14120068,0.1,0.938080921,1.388301332,608,0.185260766,incident_dm,male,,1.14120068,Pre-diabetic
sdbpc1_mrs,mdl1_mdl1_covar,1.05883124,0.102,0.866967053,1.293155941,616,0.575423045,incident_dm,male,,1.05883124,Pre-diabetic
sdbpc1_mrs,mdl2_mdl1_covar,1.070125394,0.102,0.876214664,1.306949548,608,0.504763575,incident_dm,male,,1.070125394,Pre-diabetic
sdbpc2_mrs,mdl1_mdl1_covar,1.319913407,0.09,1.106460447,1.574544673,616,0.002156061,incident_dm,male,**,1.319913407,Pre-diabetic
sdbpc2_mrs,mdl2_mdl1_covar,1.371140299,0.09,1.149403059,1.635654007,608,0.000481564,incident_dm,male,***,1.371140299,Pre-diabetic
sex_sdbpc1_mrs,mdl1_mdl1_covar,0.996945613,0.096,0.825951634,1.203339898,616,0.974477238,incident_dm,male,,0.996945613,Pre-diabetic
sex_sdbpc1_mrs,mdl2_mdl1_covar,0.998590038,0.095,0.828937137,1.20296464,608,0.98811457,incident_dm,male,,0.998590038,Pre-diabetic
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.381052403,0.094,1.148671227,1.6604453,616,0.000561187,incident_dm,male,***,1.381052403,Pre-diabetic
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.39736659,0.095,1.159964566,1.683356064,608,0.00045884,incident_dm,male,***,1.39736659,Pre-diabetic
log_HB,mdl1_mdl1_covar,1.101045252,0.075,0.950525735,1.275400131,2388,0.196432895,incident_htn,both,,1.101045252,Normal
log_HB,mdl2_mdl1_covar,1.104709556,0.074,0.95556017,1.277139045,2360,0.176193232,incident_htn,both,,1.104709556,Normal
osa_lasso_mrs,mdl1_mdl1_covar,1.436205513,0.06,1.276860812,1.615435492,2388,1.67136E-09,incident_htn,both,***,1.436205513,Normal
osa_lasso_mrs,mdl2_mdl1_covar,1.423929466,0.059,1.268430462,1.598491352,2360,2.42063E-09,incident_htn,both,***,1.423929466,Normal
REI3,mdl1_mdl1_covar,1.081706846,0.053,0.974978564,1.200118385,2388,0.137528865,incident_htn,both,,1.081706846,Normal
REI3,mdl2_mdl1_covar,1.085669677,0.052,0.980470236,1.20215648,2360,0.116918037,incident_htn,both,,1.085669677,Normal
sdb_pc1,mdl1_mdl1_covar,1.074130326,0.081,0.916449179,1.258941559,2388,0.377762099,incident_htn,both,,1.074130326,Normal
sdb_pc1,mdl2_mdl1_covar,1.066971955,0.078,0.915710226,1.243219876,2360,0.403872237,incident_htn,both,,1.066971955,Normal
sdb_pc2,mdl1_mdl1_covar,0.976689541,0.074,0.844824433,1.129136922,2388,0.749918267,incident_htn,both,,0.976689541,Normal
sdb_pc2,mdl2_mdl1_covar,0.962909136,0.072,0.836175945,1.108850367,2360,0.601315782,incident_htn,both,,0.962909136,Normal
sdbpc1_mrs,mdl1_mdl1_covar,1.236351122,0.073,1.07152664,1.426529252,2388,0.003467413,incident_htn,both,**,1.236351122,Normal
sdbpc1_mrs,mdl2_mdl1_covar,1.215865729,0.07,1.059986696,1.394667949,2360,0.005540155,incident_htn,both,**,1.215865729,Normal
sdbpc2_mrs,mdl1_mdl1_covar,1.289426764,0.064,1.137414553,1.461754974,2388,7.38997E-05,incident_htn,both,***,1.289426764,Normal
sdbpc2_mrs,mdl2_mdl1_covar,1.279021837,0.068,1.119425487,1.461371818,2360,0.000323048,incident_htn,both,***,1.279021837,Normal
sex_sdbpc1_mrs,mdl1_mdl1_covar,1.212096593,0.066,1.065017873,1.379486849,2388,0.003629238,incident_htn,both,**,1.212096593,Normal
sex_sdbpc1_mrs,mdl2_mdl1_covar,1.20253935,0.064,1.06077041,1.363255305,2360,0.003894992,incident_htn,both,**,1.20253935,Normal
sex_sdbpc2_mrs,mdl1_mdl1_covar,1.154787701,0.06,1.026665855,1.298898397,2388,0.016070724,incident_htn,both,*,1.154787701,Normal
sex_sdbpc2_mrs,mdl2_mdl1_covar,1.131048681,0.057,1.011490756,1.26473832,2360,0.031358439,incident_htn,both,*,1.131048681,Normal
