"chemid_x","n","trait_beta","trait_se","trait_p_val","trait_p_val_fdr","stratifier_beta","stratifier_se","stratifier_p_val","cross_beta","cross_se","cross_p_val","cross_term","sig_fdr","is_continuous","trait","cross_p_val_fdr","cross_fdr_sig","chemical_name","super_pathway","sub_pathway","hmdb"
"X100021991",3299,-0.0718383467212717,0.026,0.00575116547807921,0.00690139857369505,0.562141446561709,0.037,0,0.0679512624824915,0.038,0.0756374411397105,"X100021991:GENDERMale","FDR<0.05","Continuous","sdb_pc1",0.206750049342108,"Not Sig","3-hydroxyoctanoylcarnitine (2)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",NA
"X1002",3299,0.102543166976674,0.029,0.000441983922697325,0.00088396784539465,-0.164376179671225,0.045,0.000221421,-0.075995443647591,0.041,0.064115799863587,"X1002:GENDERMale","FDR<0.05","Continuous","sdb_pc2",0.206750049342108,"Not Sig","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000462"
"X100001988",1522,-0.0420478507889208,0.036,0.238860039681373,0.409474353739497,0.470937336343691,0.053,0,0.057033884192243,0.082,0.486022410691452,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.774901987703362,"Not Sig","5alpha-pregnan-3beta,20alpha-diol disulfate","Lipid","Progestin Steroids","HMDB0094650"
"X100002009",1522,-0.0337219189127116,0.036,0.353549241671393,0.53032386250709,0.465841847832012,0.056,0,0.0180480493797866,0.054,0.740122741743615,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.933858560234912,"Not Sig","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids","HMDB0240580"
"X100002014",1522,-0.0593299483104259,0.038,0.11920629104272,0.319880891369153,0.452376910035243,0.055,0,0.012774123730458,0.067,0.848142687669779,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.933858560234912,"Not Sig","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","Lipid","Progestin Steroids",NA
"X100002067",1522,-0.0308810901746642,0.038,0.414423586854035,0.552564782472046,0.476756242372459,0.062,0,0.0376665040298181,0.058,0.516601325135575,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.774901987703362,"Not Sig","pregnenediol sulfate (C21H34O5S)*","Lipid","Pregnenolone Steroids","HMDB0000774"
"X100008952",1522,0.00312620378065026,0.035,0.927905039746054,0.997176149415705,0.474111110768869,0.054,0,-0.00437808015555826,0.053,0.933858560234912,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.933858560234912,"Not Sig","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","HMDB0011565"
"X100021990",1522,0.0569856305594579,0.034,0.0984682107201905,0.319880891369153,0.472453078818469,0.054,0,-0.0838226052043409,0.05,0.0968862390291228,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.232526973669895,"Not Sig","3-hydroxyoctanoylcarnitine (1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",NA
"X100021991",1522,0.0486043574863546,0.035,0.159940445684577,0.319880891369153,0.477176885277426,0.054,0,-0.0947606538254684,0.052,0.0702738683699318,"X100021991:GENDERMale","Not Sig","Continuous","sdb_pc1",0.232526973669895,"Not Sig","3-hydroxyoctanoylcarnitine (2)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",NA
"X1002",1522,-0.000792712011765331,0.053,0.988038860007525,0.997176149415705,-0.141263080114549,0.076,0.062507847,-0.00882905014999641,0.07,0.900103333220354,"X1002:GENDERMale","Not Sig","Continuous","sdb_pc2",0.933858560234912,"Not Sig","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000462"
